Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-166,29,11,1056.0,0,4,2,0,1.0,2.0,32,35,47,0.0,0.34,0.08,0.17,N/a,N/a,N/a,N/a,14.3,0.17,0.0,19.4,266,76.4,4343,86.8,86.0,48.3,23,25,6,0,35,3.41,34,0.43,4,28,17,32,16,6,0,6,7,486,22,115,198,187,32,42,22,33.3,272,1015,32,18,9,20,18,293,47,15,21,3,13,67,7,14,33.3,€19.4M
Jack Harrison,eng ENG,FW,Everton,28-169,31,22,1900.0,1,0,0,0,3.3,3.7,64,45,116,0.05,0.0,0.16,0.17,N/a,N/a,N/a,N/a,22.2,0.28,0.04,16.3,379,63.1,6064,81.5,68.1,34.3,32,26,25,11,45,2.51,37,0.19,1,30,21,40,26,18,2,16,9,871,31,144,305,429,62,72,23,56.9,479,1491,64,34,14,50,37,562,116,13,26,4,118,65,4,26,13.3,€17.7M
Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-027,23,21,1744.0,2,2,5,0,1.5,1.3,18,63,47,0.1,0.1,0.08,0.07,N/a,N/a,N/a,N/a,42.9,0.31,0.14,14.3,828,83.4,12560,91.4,84.1,52.9,15,33,9,2,63,1.7,27,0.15,3,26,18,27,16,8,3,5,15,1137,50,316,528,299,27,11,2,72.7,565,1142,18,20,2,16,3,714,47,16,7,0,26,58,19,15,55.9,€9.2M
Jack Stephens,eng ENG,DF,Southampton,31-101,17,15,1209.0,1,0,2,2,0.6,0.2,13,53,2,0.07,0.0,0.04,0.01,N/a,N/a,N/a,N/a,50.0,0.15,0.25,11.0,786,92.0,13687,92.9,94.5,83.0,3,47,5,0,53,0.97,13,0.0,0,32,19,27,12,15,10,5,11,976,109,403,482,95,11,4,0,100.0,552,1209,13,12,1,3,3,690,2,12,4,1,1,41,6,8,42.9,€1.4M
Jacob Greaves,eng ENG,DF,Ipswich Town,24-238,22,22,1935.0,1,0,5,0,1.2,0.0,7,53,8,0.05,0.0,0.06,0.0,N/a,N/a,N/a,N/a,50.0,0.19,0.13,8.3,827,86.2,13641,93.1,89.5,41.9,2,63,1,0,53,0.6,12,0.0,0,36,19,33,12,36,24,12,18,1202,253,649,482,75,17,3,2,33.3,538,969,7,9,0,8,2,739,8,12,19,1,1,48,65,38,63.1,€25.1M
Jacob Murphy,eng ENG,FW,Newcastle Utd,30-073,32,28,2139.0,8,11,3,0,5.7,8.1,70,67,216,0.34,0.46,0.24,0.34,N/a,N/a,N/a,N/a,35.7,0.63,0.19,18.2,611,68.3,9226,83.8,67.5,42.4,38,49,35,14,67,3.07,57,0.59,13,22,15,31,15,31,0,31,11,1140,21,162,421,568,88,64,31,46.9,665,2081,70,31,25,30,34,824,216,11,14,3,110,92,4,15,21.1,€17.9M
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-345,27,18,1516.0,1,3,2,0,1.5,2.3,57,67,105,0.06,0.18,0.09,0.13,N/a,N/a,N/a,N/a,22.2,0.24,0.06,16.7,479,85.4,6395,91.5,84.9,75.0,20,31,21,1,67,3.03,40,0.47,7,30,15,20,10,21,3,18,7,726,12,136,259,344,67,42,24,23.8,474,1631,57,31,19,39,21,552,105,12,25,5,10,77,6,10,37.5,€45.8M
Jadon Sancho,eng ENG,FW,Chelsea,25-044,29,18,1687.0,3,4,2,0,2.2,3.6,98,87,218,0.16,0.21,0.12,0.19,N/a,N/a,N/a,N/a,33.3,0.43,0.13,15.1,631,82.5,8571,89.1,84.2,51.9,36,26,47,0,87,3.57,60,0.53,9,10,6,12,7,9,0,9,2,926,11,115,269,552,119,95,45,40.0,626,2374,98,33,56,29,21,726,218,6,11,6,23,97,5,10,33.3,€37.7M
Jake O'Brien,ie IRL,DF,Everton,23-358,18,15,1391.0,2,0,5,0,0.7,0.6,7,43,24,0.13,0.0,0.05,0.04,N/a,N/a,N/a,N/a,60.0,0.19,0.4,11.5,509,78.3,9400,88.7,80.1,64.0,6,41,8,5,43,1.04,14,0.0,0,24,16,24,8,16,4,12,4,805,69,321,352,135,18,10,4,50.0,356,743,7,6,2,5,5,428,24,13,4,3,18,51,33,27,55.0,€19.7M
James Garner,eng ENG,"MF,DF",Everton,24-056,18,14,1324.0,0,1,3,0,0.3,1.3,12,46,22,0.0,0.07,0.02,0.09,N/a,N/a,N/a,N/a,28.6,0.14,0.0,24.1,504,75.0,8821,85.2,83.5,46.5,12,50,6,3,46,2.24,24,0.34,4,41,27,35,16,15,3,12,17,819,36,196,417,213,9,16,6,62.5,399,684,12,15,1,12,7,451,22,18,14,0,52,64,10,8,55.6,€23.2M
James Justin,eng ENG,DF,Leicester City,27-074,33,31,2669.0,2,1,5,0,1.5,0.6,39,87,92,0.07,0.03,0.05,0.02,N/a,N/a,N/a,N/a,25.0,0.2,0.08,16.0,1093,77.8,16878,86.8,84.3,34.9,13,74,21,7,87,1.05,20,0.03,1,49,29,51,23,41,14,27,44,1775,134,616,804,365,37,30,9,43.3,797,1672,39,25,4,31,13,989,92,23,37,2,53,79,61,48,56.0,€17M
James Maddison,eng ENG,MF,Tottenham,28-166,31,21,1809.0,9,7,6,0,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,N/a,N/a,N/a,N/a,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,164,4.73,66,0.9,12,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,77,33,44.2,1026,2279,45,39,20,23,25,1125,95,32,64,4,98,76,5,7,41.7,€58.1M
James Tarkowski,eng ENG,DF,Everton,32-170,33,33,2922.0,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,N/a,N/a,N/a,N/a,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,75,1.17,32,0.12,4,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,5,28.6,727,1943,9,10,0,13,7,927,3,35,28,2,1,98,102,33,75.6,€11.8M
Jamie Vardy,eng ENG,FW,Leicester City,38-117,33,33,2655.0,8,3,5,0,10.7,2.9,27,20,110,0.27,0.1,0.36,0.1,N/a,N/a,N/a,N/a,42.3,0.75,0.13,12.4,243,66.8,3497,74.0,77.7,68.4,18,10,9,1,20,1.49,31,0.3,4,18,13,13,9,8,4,4,5,555,29,57,255,248,105,21,9,47.6,264,645,27,11,14,34,12,356,110,22,21,25,11,35,49,51,49.0,€1M
Jan Bednarek,pl POL,DF,Southampton,29-026,29,29,2441.0,2,0,7,0,0.7,0.5,5,59,2,0.07,0.0,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.07,0.4,16.0,1547,92.7,27450,95.4,94.7,76.5,5,72,1,0,59,0.59,15,0.0,0,35,18,30,15,44,33,11,54,2011,365,1060,917,41,15,3,3,0.0,1035,1731,5,5,1,9,3,1294,2,31,12,0,1,106,68,36,65.4,€12.9M
Jan Paul van Hecke,nl NED,DF,Brighton,24-334,31,30,2688.0,1,1,8,1,1.3,1.5,53,216,5,0.03,0.03,0.04,0.05,N/a,N/a,N/a,N/a,31.3,0.17,0.06,14.1,1839,87.9,36200,93.1,93.0,65.4,13,207,16,4,216,1.61,42,0.1,3,40,26,38,18,32,19,13,23,2373,250,1006,1233,154,30,11,5,36.4,1572,6740,53,42,0,12,7,1665,5,23,23,0,11,120,78,48,61.9,€42.4M
Jannik Vestergaard,dk DEN,DF,Leicester City,32-278,18,16,1391.0,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,N/a,N/a,N/a,N/a,66.7,0.13,0.0,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,32,0.45,6,0.0,0,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,4,0.0,672,1458,3,3,0,2,0,757,2,12,4,0,0,46,26,19,57.8,€2M
Jarrad Branthwaite,eng ENG,DF,Everton,22-315,28,26,2348.0,0,1,4,0,1.1,0.7,9,61,2,0.0,0.04,0.04,0.03,N/a,N/a,N/a,N/a,37.5,0.11,0.0,8.2,909,82.2,17777,90.3,90.5,55.3,3,80,2,0,61,0.5,11,0.08,1,36,20,27,7,30,22,8,23,1413,198,735,622,63,23,5,3,20.0,694,2253,9,13,2,8,3,826,2,10,17,1,5,84,53,38,58.2,€32.2M
Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-139,31,31,2721.0,10,7,1,0,8.0,6.3,98,86,188,0.33,0.23,0.26,0.21,N/a,N/a,N/a,N/a,41.0,1.06,0.12,17.4,517,71.4,8610,83.0,76.4,55.6,49,37,43,7,86,3.44,63,0.43,9,37,24,37,20,21,3,18,16,1123,25,125,415,607,154,116,40,56.9,667,2311,98,43,56,68,70,736,188,19,49,10,101,120,12,46,20.7,€48.1M
Jean-Clair Todibo,fr FRA,DF,West Ham,25-129,24,17,1564.0,0,0,2,0,0.2,0.0,9,31,5,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.6,788,87.4,14042,93.5,94.0,44.4,2,40,1,0,31,0.29,4,0.0,0,40,24,33,8,24,12,12,21,1090,146,603,452,44,10,14,7,50.0,623,1363,9,5,0,13,9,735,5,11,5,0,3,65,23,24,48.9,€36M
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-314,34,31,2517.0,14,2,2,0,12.1,3.1,38,47,114,0.5,0.07,0.43,0.11,N/a,N/a,N/a,N/a,41.0,0.89,0.2,15.7,274,64.9,3631,76.3,62.1,31.8,27,32,15,2,47,2.0,38,0.29,3,17,12,16,13,16,3,13,2,695,24,58,333,318,87,43,19,46.5,373,916,38,20,8,70,43,511,114,27,26,17,25,64,60,99,37.7,€31.7M
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-315,32,19,1551.0,2,6,3,0,1.3,3.6,49,39,83,0.12,0.35,0.08,0.21,N/a,N/a,N/a,N/a,25.0,0.29,0.1,21.7,415,78.7,6398,89.2,80.9,56.4,26,27,17,8,39,3.08,33,0.58,8,37,22,19,6,19,3,16,10,756,24,139,339,295,45,60,14,51.7,464,1440,49,35,11,38,25,519,83,29,41,1,40,57,9,18,33.3,€21.3M
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-195,30,23,2034.0,0,1,8,0,1.0,1.5,11,86,25,0.0,0.04,0.04,0.06,N/a,N/a,N/a,N/a,29.2,0.31,0.0,19.4,777,75.4,13661,86.7,81.1,46.7,9,83,17,2,86,1.95,35,0.13,3,30,15,33,16,32,15,17,37,1274,95,404,655,225,27,12,6,33.3,597,1004,11,10,0,14,15,747,25,34,36,0,11,139,39,39,50.0,€13.6M
Jens Cajuste,se SWE,MF,Ipswich Town,25-271,27,23,1783.0,1,0,2,0,0.5,0.6,23,46,16,0.05,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.1,21.3,576,82.4,9518,88.9,85.8,50.0,11,45,5,1,46,1.51,23,0.05,0,39,19,47,28,24,9,15,25,911,59,263,477,185,11,46,25,32.6,421,1182,23,21,3,21,14,522,16,21,21,0,9,99,12,21,36.4,€15.5M
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-346,26,15,1397.0,3,6,1,0,1.0,4.4,189,66,259,0.19,0.39,0.07,0.28,N/a,N/a,N/a,N/a,37.5,0.58,0.13,18.2,558,79.3,7829,86.2,82.4,66.7,28,12,44,5,66,4.38,52,0.84,10,28,19,14,7,10,1,9,4,944,4,42,220,705,135,185,102,29.2,731,4355,189,88,90,52,55,786,259,7,31,5,51,57,0,11,0.0,
Jesper Lindstrøm,dk DEN,FW,Everton,25-068,25,15,1239.0,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.0,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,25,3.35,30,0.07,1,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,8,72.1,302,780,30,19,7,31,24,347,81,15,10,1,71,70,6,12,33.3,€24.4M
Joachim Andersen,dk DEN,DF,Fulham,28-342,26,26,2313.0,0,0,5,1,1.0,0.3,13,105,2,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,100.0,1.0,0.0,25.2,61,73.5,1227,90.5,83.8,42.9,0,9,1,0,4,1.0,1,0.0,0,1,1,2,1,0,0,0,0,93,14,38,50,5,0,0,0,,49,103,1,1,0,0,1,67,1,2,0,0,1,7,2,0,100.0,€31.4M
Joe Aribo,ng NGA,"MF,DF",Southampton,28-291,30,20,1909.0,3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,71,1.75,32,0.05,1,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,18,47.8,708,1923,35,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3,€6.9M
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-261,30,11,1026.0,0,2,3,0,1.6,1.9,36,38,82,0.0,0.18,0.14,0.17,N/a,N/a,N/a,N/a,17.6,0.26,0.0,15.4,281,82.4,4022,88.6,87.0,45.5,21,25,8,0,38,3.86,35,0.35,4,28,16,29,11,24,6,18,6,503,12,73,214,227,51,34,12,47.1,302,984,36,27,14,35,23,347,82,22,13,3,16,40,5,14,26.3,€35.8M
Joelinton,br BRA,"MF,FW",Newcastle Utd,28-267,29,29,2393.0,4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,116,2.29,46,0.34,7,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,15,60.9,729,1786,40,26,9,39,53,934,110,58,35,7,16,149,59,46,56.2,€47.5M
John McGinn,sct SCO,"MF,FW",Aston Villa,30-202,31,25,2052.0,1,4,7,0,2.9,3.4,31,96,72,0.04,0.18,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.22,0.04,16.2,658,82.5,11150,91.5,86.4,59.0,29,66,27,7,96,2.98,52,0.31,6,31,22,27,16,21,2,19,14,999,28,158,532,319,52,44,18,27.3,547,1194,31,16,6,33,25,700,72,43,67,3,54,94,16,11,59.3,€22.5M
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-239,27,16,1425.0,5,0,5,0,3.0,1.0,42,37,77,0.32,0.0,0.19,0.06,N/a,N/a,N/a,N/a,0.0,0.0,0.0,5.5,8,80.0,167,100.0,66.7,100.0,1,0,0,0,0,4.29,1,0.0,0,1,0,0,0,0,0,0,0,12,0,0,7,5,1,0,0,,6,12,0,0,0,0,1,9,1,1,0,0,1,1,1,1,50.0,€4.2M
Jordan Pickford,eng ENG,GK,Everton,31-062,35,35,3150.0,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.23,71.1,28.6,100.0,,0.0,,,971,66.5,30852,99.3,98.4,46.3,2,68,8,0,0,0.34,11,0.06,2,1,0,2,1,0,0,0,1,1561,1009,1494,68,0,0,0,0,,895,3246,0,0,0,2,0,788,0,0,7,0,0,31,4,1,80.0,€22.6M
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-351,32,14,1402.0,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,N/a,N/a,N/a,N/a,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,44,1.99,28,0.19,1,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,11,68.6,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0,€43.7M
José Sá,pt POR,GK,Wolves,32-111,27,27,2430.0,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,1.67,62.0,25.9,33.3,,0.0,,,544,63.8,14150,99.1,97.1,30.8,2,18,1,0,2,0.15,4,0.0,0,2,2,2,0,0,0,0,0,911,725,903,9,0,0,7,7,0.0,565,2205,0,0,0,1,0,450,0,4,8,0,0,31,9,1,90.0,€8.5M
João Gomes,br BRA,MF,Wolves,24-085,33,33,2781.0,3,1,10,1,2.7,1.2,53,148,68,0.1,0.03,0.09,0.04,N/a,N/a,N/a,N/a,21.2,0.23,0.09,18.1,1262,84.9,18027,91.0,85.6,60.7,22,107,22,1,148,2.01,49,0.1,3,105,62,102,60,42,4,38,25,1843,59,404,1014,451,42,57,26,43.9,957,2593,53,50,6,38,49,1230,68,67,41,1,27,178,9,24,27.3,€51.1M
João Pedro,br BRA,"FW,MF",Brighton,23-224,27,23,1948.0,10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,N/a,N/a,N/a,N/a,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,78,3.32,56,0.42,6,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,29,54.7,616,1821,66,39,30,72,38,732,128,26,46,2,22,59,41,43,48.8,€61.3M
Joël Veltman,nl NED,DF,Brighton,33-113,20,19,1665.0,0,0,4,0,0.5,0.5,30,80,32,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,16.7,0.05,0.0,19.7,719,79.9,12118,89.9,80.4,63.3,6,62,8,5,80,1.19,15,0.05,0,42,28,51,21,22,7,15,18,1102,65,328,544,240,10,15,4,33.3,526,1448,30,22,3,19,7,599,32,27,42,0,23,68,21,18,53.8,€5.7M
Joško Gvardiol,hr CRO,DF,Manchester City,23-105,34,33,3007.0,5,0,2,0,4.4,2.0,81,251,98,0.15,0.0,0.13,0.06,N/a,N/a,N/a,N/a,29.7,0.33,0.14,13.0,2321,90.9,37878,94.4,93.2,68.9,25,237,20,1,251,2.07,64,0.21,6,51,34,37,18,40,20,20,38,2903,142,725,1474,727,85,40,23,35.0,1886,5715,81,92,13,25,16,2132,98,13,23,2,19,132,48,33,59.3,€78.7M
Jurriën Timber,nl NED,DF,Arsenal,23-325,30,27,2417.0,1,3,7,0,1.2,0.8,57,146,104,0.04,0.11,0.05,0.03,N/a,N/a,N/a,N/a,28.6,0.15,0.07,14.1,1194,85.6,17327,91.0,86.0,52.9,17,107,17,2,146,1.94,46,0.34,8,58,38,27,9,19,4,15,22,1661,51,304,859,505,66,53,24,45.3,890,2076,57,27,11,33,24,1052,104,31,29,6,28,94,22,20,52.4,
Justin Kluivert,nl NED,"MF,FW",Bournemouth,26-003,31,27,2161.0,12,6,8,0,10.0,4.8,74,95,153,0.5,0.25,0.42,0.2,N/a,N/a,N/a,N/a,41.5,0.92,0.11,20.4,533,74.3,8212,83.6,76.7,53.1,45,41,32,6,95,3.95,69,0.46,10,21,9,21,17,24,0,24,13,996,23,93,342,581,115,82,33,47.6,594,2161,74,52,34,50,26,653,153,42,29,5,80,73,7,25,21.9,€44.8M
Jørgen Strand Larsen,no NOR,FW,Wolves,25-091,32,29,2463.0,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,N/a,N/a,N/a,N/a,60.4,1.17,0.25,11.4,272,63.1,3547,70.5,63.2,70.0,19,18,4,1,28,1.46,31,0.18,5,9,6,27,23,18,4,14,5,695,34,83,329,284,104,17,7,58.8,328,446,16,13,9,88,32,507,106,46,18,14,6,42,66,96,40.7,€30.8M
Kai Havertz,de GER,"FW,MF",Arsenal,25-331,21,21,1839.0,9,3,4,0,9.4,2.4,34,59,110,0.44,0.15,0.46,0.12,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,59,2.01,34,0.15,2,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,9,63.2,411,922,34,23,18,42,22,575,110,36,21,14,11,39,62,73,45.9,
Kalvin Phillips,eng ENG,MF,Ipswich Town,29-157,19,14,1237.0,0,0,6,1,0.4,0.2,4,51,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,18.2,0.15,0.0,24.3,436,79.1,8581,83.1,86.7,61.2,5,49,6,1,51,1.24,13,0.22,3,35,19,39,24,35,6,29,19,739,61,223,398,122,5,12,5,50.0,310,569,4,5,0,25,10,394,4,28,20,0,20,68,7,22,24.1,€17.2M
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-082,23,14,1178.0,1,1,2,0,1.4,1.0,57,26,76,0.08,0.08,0.1,0.08,N/a,N/a,N/a,N/a,30.8,0.61,0.04,18.8,253,79.8,3667,89.4,82.4,44.4,10,6,13,7,26,2.14,15,0.23,1,16,14,13,5,9,0,9,6,509,13,65,190,272,50,92,33,55.4,331,1409,57,34,23,37,22,358,76,19,10,2,25,52,9,21,30.0,€18.5M
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-353,33,28,2521.0,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,N/a,N/a,N/a,N/a,46.3,0.89,0.17,13.9,701,75.3,9130,86.9,70.5,44.0,35,34,32,8,82,2.96,69,0.29,7,43,26,46,28,46,3,43,13,1300,15,149,445,734,156,127,49,57.5,786,3663,138,76,55,49,22,911,277,39,23,5,72,92,24,27,47.1,€50.6M
Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-075,35,33,2839.0,1,3,6,0,2.6,3.0,92,90,144,0.03,0.1,0.08,0.1,N/a,N/a,N/a,N/a,51.9,0.44,0.04,20.5,900,77.3,14851,89.6,79.4,48.8,23,61,41,14,90,2.12,53,0.25,6,44,26,44,18,24,9,15,19,1473,94,450,573,469,69,97,39,50.5,783,2971,92,63,34,43,19,878,144,16,29,4,71,136,26,34,43.3,€27.1M
Kenny Tete,nl NED,DF,Fulham,29-211,19,18,1504.0,0,2,4,0,1.2,0.9,33,50,47,0.0,0.12,0.07,0.05,N/a,N/a,N/a,N/a,9.1,0.12,0.0,16.1,669,81.3,10740,91.7,80.3,61.8,7,60,9,6,50,1.91,24,0.18,3,50,34,34,14,22,6,16,29,1033,58,332,422,287,32,19,8,31.6,534,1229,33,20,7,16,10,596,47,28,14,1,29,65,18,12,60.0,€14M
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-217,28,28,2520.0,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.25,75.4,25.0,0.0,0.0,0.0,0.0,9.7,671,71.9,18595,98.1,98.3,47.8,1,9,0,0,2,0.14,2,0.0,0,1,0,2,2,1,0,1,0,990,732,961,28,1,1,1,1,0.0,557,1588,0,0,0,0,0,435,0,2,5,0,0,52,7,1,87.5,€12M
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-314,25,17,1538.0,4,7,2,0,3.8,7.6,47,135,137,0.23,0.41,0.22,0.44,N/a,N/a,N/a,N/a,28.6,0.82,0.08,21.7,799,76.0,13542,85.5,76.8,57.8,51,80,51,11,135,6.08,67,0.64,9,17,9,23,18,8,0,8,7,1210,10,73,408,739,71,32,12,50.0,711,1860,47,45,18,24,26,907,137,16,16,5,122,56,4,15,21.1,€20.1M
Kevin Schade,de GER,FW,Brentford,23-162,35,23,2069.0,10,2,3,0,7.7,3.4,56,32,146,0.43,0.09,0.33,0.15,N/a,N/a,N/a,N/a,46.0,1.0,0.2,11.6,290,58.2,4497,68.4,60.1,42.9,20,29,9,3,32,2.18,29,0.39,5,35,23,20,8,17,2,15,5,804,37,135,221,463,129,81,29,56.8,399,1275,56,26,35,54,34,497,146,20,33,13,36,78,81,65,55.5,€29.7M
Kieran Trippier,eng ENG,DF,Newcastle Utd,34-231,24,14,1281.0,0,3,1,0,0.1,1.3,25,111,53,0.0,0.21,0.01,0.09,N/a,N/a,N/a,N/a,0.0,0.0,0.0,22.2,1000,82.1,17045,94.3,85.3,47.6,19,67,20,2,111,3.51,30,0.42,4,37,20,35,14,11,3,8,12,1347,50,373,594,389,12,8,4,50.0,587,1158,25,14,4,11,8,818,53,16,11,2,79,65,21,15,58.3,€5.1M
Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-019,22,18,1506.0,0,0,5,0,0.6,1.6,21,59,42,0.0,0.0,0.03,0.09,N/a,N/a,N/a,N/a,15.4,0.12,0.0,20.8,663,86.3,8794,92.1,87.6,70.7,14,46,9,0,59,1.79,25,0.12,2,42,25,36,14,16,2,14,19,980,24,183,555,251,33,49,23,49.0,602,1131,21,14,10,34,34,696,42,27,19,2,5,79,19,27,41.3,€66M
Konstantinos Mavropanos,gr GRE,DF,West Ham,27-148,31,20,1947.0,0,0,6,1,1.5,0.5,16,60,2,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,27.8,0.23,0.0,14.8,1013,85.8,19974,91.0,92.3,58.4,5,60,4,1,60,0.74,12,0.0,0,32,22,25,11,23,17,6,38,1432,221,746,632,62,24,17,9,29.4,794,2124,16,10,1,12,0,936,2,17,14,3,2,68,56,24,70.0,€19.1M
Kristoffer Ajer,no NOR,DF,Brentford,27-021,22,17,1405.0,0,0,5,0,0.8,1.2,27,54,42,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.19,0.0,10.2,489,78.1,7626,86.7,79.7,49.1,8,42,7,4,54,1.15,15,0.13,2,25,17,26,12,17,4,13,12,773,52,260,359,160,35,16,7,50.0,378,1172,27,11,2,15,12,481,42,12,6,1,14,42,27,22,55.1,€21.5M
Kyle Walker,eng ENG,DF,Manchester City,34-345,15,9,970.0,0,0,3,0,0.1,0.4,12,64,11,0.0,0.0,0.01,0.04,N/a,N/a,N/a,N/a,40.0,0.19,0.0,27.7,724,87.7,11928,94.6,91.3,51.2,7,63,7,4,64,1.58,17,0.0,0,17,10,26,12,13,4,9,3,892,26,197,473,228,5,6,3,33.3,499,1106,12,13,0,9,2,630,11,6,5,1,14,46,9,7,56.3,
Kyle Walker-Peters,eng ENG,DF,Southampton,28-025,33,33,2918.0,0,2,5,0,0.8,2.8,114,139,144,0.0,0.06,0.03,0.09,N/a,N/a,N/a,N/a,30.0,0.19,0.0,18.3,1493,88.2,22418,93.9,90.0,60.2,24,119,30,4,139,1.94,40,0.22,5,44,29,35,19,27,15,12,19,2022,151,615,884,540,59,92,38,42.4,1271,4373,114,72,24,32,39,1433,144,28,52,2,51,135,11,21,34.4,€16.6M
Leandro Trossard,be BEL,FW,Arsenal,30-155,35,26,2354.0,8,5,4,1,6.8,5.3,75,95,207,0.31,0.19,0.26,0.2,N/a,N/a,N/a,N/a,30.9,0.8,0.12,15.9,632,73.7,10332,85.2,76.3,51.2,37,41,43,9,95,3.06,63,0.23,6,26,17,31,22,31,0,31,9,1149,15,120,361,685,143,72,30,44.4,733,1942,75,49,29,57,43,857,207,25,43,6,79,93,6,22,21.4,€31.8M
