Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Diogo Dalot,pt POR,DF,Manchester Utd,26-051,32,31,2788.0,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.0,15.6,1336,80.5,21497,89.9,81.9,55.4,26,61,25,8,102,2.39,57,0.16,3,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,27,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4,€37.4M
Diogo Jota,pt POR,FW,Liverpool,28-155,24,14,1154.0,6,3,2,0,7.5,1.8,36,33,86,0.47,0.23,0.59,0.14,N/a,N/a,N/a,N/a,27.1,1.01,0.13,12.3,205,69.7,3120,76.2,75.0,61.9,11,29,3,1,33,2.73,22,0.7,5,14,8,19,12,9,0,9,7,459,5,30,190,246,93,32,11,59.4,251,754,36,21,20,37,22,317,86,22,14,1,8,40,22,30,42.3,€58.6M
Djed Spence,eng ENG,DF,Tottenham,24-272,22,17,1604.0,1,2,4,1,0.6,1.8,56,100,70,0.06,0.11,0.03,0.1,N/a,N/a,N/a,N/a,30.0,0.17,0.1,23.9,923,85.5,13205,93.7,85.8,51.7,11,74,18,8,100,1.57,22,0.28,3,40,30,27,7,24,9,15,18,1316,72,448,600,288,25,69,34,40.6,741,2372,56,41,7,26,31,812,70,20,23,2,25,101,20,13,60.6,€19.8M
Dominic Calvert-Lewin,eng ENG,FW,Everton,28-053,23,19,1588.0,3,1,2,0,6.2,0.6,22,19,107,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,36.2,0.96,0.06,12.3,177,62.8,2075,69.9,59.0,37.5,7,19,5,1,19,1.42,14,0.23,1,9,7,6,4,6,2,4,6,499,22,39,208,257,83,25,10,52.0,272,444,22,8,16,73,33,407,107,27,23,27,6,32,84,80,51.2,€17.8M
Dominic Solanke,eng ENG,FW,Tottenham,27-236,25,24,2119.0,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,N/a,N/a,N/a,N/a,40.7,1.02,0.14,12.1,250,71.0,3344,76.1,77.1,66.7,14,27,9,0,45,1.57,25,0.34,6,18,11,14,10,18,7,11,0,636,31,68,290,284,111,50,16,62.0,374,803,29,21,14,67,47,448,88,36,36,5,4,37,44,59,42.7,€52.1M
Dominik Szoboszlai,hu HUN,MF,Liverpool,24-195,33,26,2279.0,5,5,6,0,7.1,6.2,65,118,120,0.2,0.2,0.28,0.24,N/a,N/a,N/a,N/a,32.3,0.79,0.08,18.5,1029,84.6,15917,89.2,88.3,72.2,51,80,31,5,118,4.27,84,0.55,11,31,20,39,24,36,4,32,9,1450,24,188,704,576,96,35,19,37.1,740,2119,65,46,17,34,22,991,120,37,23,4,34,122,18,22,45.0,€71.4M
Dwight McNeil,eng ENG,"MF,FW",Everton,25-167,18,14,1262.0,4,4,1,0,1.1,3.8,35,63,74,0.29,0.29,0.08,0.27,N/a,N/a,N/a,N/a,40.0,0.71,0.16,21.9,420,73.7,7795,86.7,81.8,52.3,33,38,33,10,63,4.49,35,0.5,4,11,6,19,11,7,0,7,5,688,4,67,298,339,24,40,21,45.0,406,1041,35,30,5,24,29,468,74,6,14,1,97,71,3,15,16.7,€27M
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-313,31,29,2427.0,5,8,1,0,9.1,5.2,67,89,143,0.19,0.3,0.34,0.19,N/a,N/a,N/a,N/a,25.3,0.89,0.04,21.6,735,74.5,12395,84.3,83.5,44.9,54,47,35,4,89,4.64,66,0.33,8,37,22,35,18,27,0,27,11,1336,15,177,628,564,89,130,64,44.6,794,2262,67,45,21,53,44,862,143,11,49,9,103,133,7,37,15.9,€62.2M
Ederson,br BRA,GK,Manchester City,31-264,23,23,2050.0,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.10,68.5,34.8,0.0,,0.0,,,730,88.2,17943,100.0,98.4,66.3,4,20,1,0,1,0.26,6,0.18,4,0,0,2,2,0,0,0,1,875,619,866,9,0,0,0,0,,590,1732,0,0,0,1,0,560,0,1,0,0,0,38,4,1,80.0,€19.1M
Edson Álvarez,mx MEX,MF,West Ham,27-196,25,19,1633.0,0,1,8,1,0.3,0.8,21,75,18,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.0,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,75,1.38,21,0.11,2,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,14,38.7,603,1528,21,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3,€36.5M
Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-183,34,30,2467.0,2,6,7,0,1.9,3.1,46,128,87,0.07,0.22,0.07,0.11,N/a,N/a,N/a,N/a,18.9,0.26,0.05,19.4,949,77.6,15198,89.1,80.3,45.7,34,105,19,2,128,2.85,38,0.36,4,84,52,100,57,44,9,35,30,1630,95,388,775,496,62,73,36,39.7,820,2094,46,31,19,56,41,956,87,43,55,4,78,197,47,23,67.1,€46.5M
Emerson Palmieri,it ITA,DF,West Ham,30-278,30,26,2105.0,2,1,5,0,2.0,1.5,47,66,83,0.09,0.04,0.08,0.06,N/a,N/a,N/a,N/a,43.8,0.3,0.13,19.0,859,79.9,12521,89.7,81.3,42.2,16,51,13,5,66,1.75,25,0.09,1,60,31,48,21,32,8,24,21,1323,82,422,557,359,28,30,10,56.7,553,1736,47,25,9,24,7,745,83,25,13,0,64,84,18,20,47.4,€12.6M
Emile Smith Rowe,eng ENG,MF,Fulham,24-284,31,23,1886.0,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,N/a,N/a,N/a,N/a,28.6,0.48,0.17,15.6,844,90.1,12107,92.1,95.4,70.4,18,76,15,1,120,3.1,50,0.52,9,31,18,24,16,20,2,18,11,1128,20,155,534,449,55,33,16,45.5,734,1838,50,38,11,35,13,867,115,18,12,4,13,69,6,17,26.1,€40.8M
Emiliano Martínez,ar ARG,GK,Aston Villa,32-248,34,34,2970.0,0,0,4,0,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,1.36,66.7,17.6,50.0,,0.0,,,1018,79.1,26608,97.8,98.2,50.1,2,24,0,0,4,0.18,5,0.03,1,3,3,2,0,1,0,1,0,1348,1015,1329,19,0,0,1,1,0.0,820,2626,0,0,0,1,0,738,0,1,5,0,0,29,8,1,88.9,€17.5M
Emmanuel Agbadou,ci CIV,DF,Wolves,27-325,13,13,1140.0,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.08,0.0,31.8,663,85.0,13505,91.7,92.7,61.0,4,26,1,0,22,1.18,14,0.16,2,27,18,17,6,16,12,4,9,924,155,527,381,22,5,10,7,20.0,572,1230,3,3,0,3,3,615,1,5,4,1,1,66,22,16,57.9,€18M
Enzo Fernández,ar ARG,MF,Chelsea,24-111,33,29,2677.0,6,7,7,0,6.0,6.5,57,199,116,0.2,0.24,0.2,0.22,N/a,N/a,N/a,N/a,37.3,0.64,0.12,18.2,1429,80.0,25393,89.0,85.0,58.0,73,156,39,7,199,4.74,111,0.54,13,63,32,83,52,36,7,29,13,2070,36,327,1049,708,76,46,21,39.1,1135,2574,57,53,8,27,27,1520,116,47,48,1,105,147,14,28,33.3,€73.7M
Erling Haaland,no NOR,FW,Manchester City,24-291,28,28,2480.0,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,18,2.25,43,0.33,6,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,11,59.4,272,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1,€198.8M
Ethan Pinnock,jm JAM,DF,Brentford,31-344,22,21,1913.0,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.2,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,41,0.99,13,0.0,0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,3,66.7,633,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4,€7.6M
