Team,Statistic,Median of Statistic,Mean of Statistic,Std of Statistic
Crystal Palace,Dis,13.0,14.666666666666666,14.37126763140028
Everton,Dis,11.0,15.818181818181818,14.640571038942447
Fulham,Dis,7.0,11.090909090909092,11.987728212869513
Ipswich Town,Dis,4.0,10.4,14.445139977359766
Leicester City,Dis,7.0,10.346153846153847,12.373980144455727
Liverpool,Dis,11.0,14.952380952380953,16.169341948503007
Manchester City,Dis,13.0,14.88,14.509537093466031
Manchester Utd,Dis,4.5,11.066666666666666,13.801382572754813
Newcastle Utd,Dis,8.0,17.956521739130434,20.318997516586574
Nott'ham Forest,Dis,10.0,13.5,13.330059121792228
Southampton,Dis,5.0,11.137931034482758,13.765184182076984
Tottenham,Dis,11.0,14.74074074074074,16.38618694227313
West Ham,Dis,6.0,14.68,22.253688832790544
Wolves,Dis,11.0,14.434782608695652,15.287624486838787
Arsenal,Rec,552.0,710.8636363636364,492.201884195088
Aston Villa,Rec,483.5,488.89285714285717,382.9046239707755
Bournemouth,Rec,435.0,499.69565217391306,370.4772640285168
Brentford,Rec,497.0,573.5238095238095,410.8683023850366
Brighton,Rec,417.0,513.4285714285714,428.4140804626107
Chelsea,Rec,494.5,634.1538461538462,542.6948824013502
Crystal Palace,Rec,533.0,514.4285714285714,354.96261372552624
Everton,Rec,439.5,460.04545454545456,286.96763999957625
Fulham,Rec,606.5,596.5909090909091,457.3652972750722
Ipswich Town,Rec,255.0,342.03333333333336,284.3884525680025
Leicester City,Rec,436.5,477.38461538461536,343.3747896305816
Liverpool,Rec,606.0,798.2380952380952,570.0718292252218
Manchester City,Rec,630.0,783.04,543.7994023534781
Manchester Utd,Rec,385.0,508.0,438.9121347934749
Newcastle Utd,Rec,567.0,612.304347826087,506.39998876046667
Nott'ham Forest,Rec,485.5,455.95454545454544,326.78046763228366
Southampton,Rec,349.0,494.3448275862069,436.3488345563893
Tottenham,Rec,629.0,576.4074074074074,339.1683561141484
West Ham,Rec,459.0,529.56,390.62184185390004
Wolves,Rec,482.0,559.2173913043479,370.7579407010528
Arsenal,PrgR_y,52.0,75.95454545454545,77.48823399024143
Aston Villa,PrgR_y,21.0,45.07142857142857,52.4184930410863
Bournemouth,PrgR_y,31.0,57.65217391304348,71.61171101258645
Brentford,PrgR_y,27.0,57.57142857142857,77.18003072594065
Brighton,PrgR_y,29.5,49.964285714285715,62.408737602202216
Chelsea,PrgR_y,11.5,57.07692307692308,76.0620394556565
Crystal Palace,PrgR_y,11.0,49.61904761904762,64.75915085181104
Everton,PrgR_y,24.0,41.81818181818182,41.55619988542924
Fulham,PrgR_y,31.0,61.27272727272727,73.17310318896574
Ipswich Town,PrgR_y,14.5,26.6,35.378349116470886
Leicester City,PrgR_y,16.0,35.34615384615385,40.47512056332117
Liverpool,PrgR_y,54.0,83.04761904761905,111.0078718787439
Manchester City,PrgR_y,26.0,69.6,78.21764506810467
Manchester Utd,PrgR_y,14.5,42.7,64.32576037852846
Newcastle Utd,PrgR_y,22.0,62.69565217391305,71.58557166878145
Nott'ham Forest,PrgR_y,18.5,45.63636363636363,58.02671425386386
Southampton,PrgR_y,20.0,35.3448275862069,38.70610496519063
Tottenham,PrgR_y,31.0,56.51851851851852,69.30333012887307
West Ham,PrgR_y,25.0,44.64,57.79120463646119
Wolves,PrgR_y,28.0,45.26086956521739,47.76192606069889
Arsenal,Fls,14.0,16.954545454545453,11.273556386210767
Aston Villa,Fls,8.5,13.785714285714286,13.370385026886689
Bournemouth,Fls,16.0,20.52173913043478,17.98451244118215
Brentford,Fls,12.0,13.333333333333334,10.822815406969358
Brighton,Fls,11.0,14.714285714285714,12.403276576827183
Chelsea,Fls,9.0,15.576923076923077,16.082718866965443
Crystal Palace,Fls,12.0,18.047619047619047,16.197148485076596
Everton,Fls,15.0,17.90909090909091,13.962224856509184
Fulham,Fls,15.5,17.136363636363637,14.910192916721526
Ipswich Town,Fls,10.0,13.533333333333333,14.731466049040165
Leicester City,Fls,12.0,13.384615384615385,10.770615295615839
Liverpool,Fls,16.0,19.047619047619047,16.478701983093785
Manchester City,Fls,11.0,10.64,8.18474190185616
Manchester Utd,Fls,9.0,12.533333333333333,11.667027909021433
Newcastle Utd,Fls,9.0,15.826086956521738,16.94282410159385
Nott'ham Forest,Fls,12.0,17.09090909090909,13.95881387684802
Southampton,Fls,12.0,14.758620689655173,13.428794149709455
Tottenham,Fls,10.0,15.074074074074074,13.219815912618934
West Ham,Fls,15.0,16.28,14.261019131417875
Wolves,Fls,15.0,19.782608695652176,17.503133542153716
Arsenal,Fld,17.0,17.045454545454547,12.40382918114315
Aston Villa,Fld,9.0,16.535714285714285,17.752375204372665
Bournemouth,Fld,10.0,15.608695652173912,13.89486213230953
Brentford,Fld,10.0,15.047619047619047,14.579012965479489
Brighton,Fld,9.5,14.035714285714286,14.474708831862413
Chelsea,Fld,11.0,16.26923076923077,16.73931346813887
Crystal Palace,Fld,19.0,17.952380952380953,15.866556622267453
Everton,Fld,14.0,15.227272727272727,12.968576740875719
Fulham,Fld,13.0,13.818181818181818,11.737754971666929
Ipswich Town,Fld,8.0,12.2,11.7983049630021
Leicester City,Fld,10.5,11.615384615384615,9.883630600450113
Liverpool,Fld,12.0,15.666666666666666,13.547447484058882
Manchester City,Fld,12.0,13.88,11.47214016650773
Manchester Utd,Fld,7.0,11.3,11.567344045884607
Newcastle Utd,Fld,11.0,18.217391304347824,24.096315300626227
Nott'ham Forest,Fld,10.0,17.40909090909091,17.148258528572825
Southampton,Fld,8.0,13.655172413793103,15.764507744725094
Tottenham,Fld,11.0,16.962962962962962,15.298269086306366
West Ham,Fld,11.0,15.12,17.678423760807032
Wolves,Fld,10.0,16.91304347826087,17.085115913295727
Arsenal,Off,2.0,3.5454545454545454,3.6868785704269667
Aston Villa,Off,1.0,2.0357142857142856,3.024371901209472
Bournemouth,Off,0.0,2.739130434782609,5.074153680479389
Brentford,Off,1.0,2.9523809523809526,4.477456761111049
Brighton,Off,1.0,1.4642857142857142,1.8354965592579082
Chelsea,Off,1.0,2.4615384615384617,4.588949938543843
Crystal Palace,Off,1.0,3.1904761904761907,4.915476046315836
